0.4299999, 0.05208992, -0.002417577, 6.31343, 0, -0.002383273684122657700608, 55909.56, -1075.859, -3.95279, 0.004901078, 0.07899523, 320.5252, 1.294739, 1.192726, 1.571966
 
0.4399998, 0.05141075, -0.001896678, 6.313366, 0, -0.002475444791324596954464, 55802.18, -1077.042, -3.95279, 0.004901078, 0.07899523, 320.2646, 1.29441, 1.192726, 1.571966
 
0.4499998, 0.04987299, -0.00138257, 6.313043, 0, -0.002518136126226999393192, 55695.14, -1078.181, -3.95279, 0.004901078, 0.07899523, 320.0046, 1.294084, 1.192726, 1.571966
 
0.4599998, 0.047536, -0.0008838403, 6.31245, 0, -0.0025119823669416627625363192, 55588.46, -1079.274, -3.95279, 0.004901078, 0.07899523, 319.7453, 1.293761, 1.192726, 1.571966
 
0.4699998, 0.04449625, -0.0004084803, 6.311594, 0, -0.00245991874386502424409, 55482.23, -1080.319, -3.95279, 0.004901078, 0.07899523, 319.4869, 1.29344, 1.192726, 1.571966
 
0.4799998, 0.04086768, 3.648222E-05, 6.310453, 0, -0.00236617456313050712956, 55376.36, -1081.316, -3.95279, 0.004901078, 0.07899523, 319.229, 1.293121, 1.192726, 1.571966
 
0.4899998, 0.0367302, 0.000445159, 6.309031, 0, -0.0022333868265408896047363408, 55270.84, -1082.263, -3.95279, 0.004901078, 0.07899523, 318.9718, 1.292805, 1.192726, 1.571966
 
0.4999998, 0.03218043, 0.000812461, 6.307323, 0, -0.0020654126175299862086388952, 55165.66, -1083.161, -3.95279, 0.004901078, 0.07899523, 318.7152, 1.29249, 1.192726, 1.571966
 
0.5099998, 0.02732876, 0.001134265, 6.305328, 0, -0.0018672239800723622520755395, 55060.93, -1084.008, -3.95279, 0.004901078, 0.07899523, 318.4595, 1.292177, 1.192726, 1.571966
 
0.5199998, 0.02228026, 0.001407553, 6.303035, 0, -0.0016438585653997694602707977, 54956.56, -1084.802, -3.95279, 0.004901078, 0.07899523, 318.2044, 1.291865, 1.192726, 1.571966
 
